Name,Sector,Industry,Market cap (mil),,,
EN+ GROUP International PJSC ENPL,Basic Materials,Aluminum,"USD 4,671.74",,,
ConvaTec Group PLC CTEC,Healthcare,Medical Instruments & Supplies,"GBX 4,639.88",,,
Compal Electronics Inc CEIR,Technology,Computer Hardware,"USD 4,623.29",,,
Vistry Group PLC VTY,Consumer Cyclical,Residential Construction,"GBX 4,543.51",,,
Airtel Africa PLC AAF,Communication Services,Telecom Services,"GBX 4,457.33",,,
Endeavour Mining PLC EDV,Basic Materials,Gold,"GBX 4,396.30",,,
Fresnillo PLC FRES,Basic Materials,Other Precious Metals & Mining,"GBX 4,336.62",,,
British Land Co PLC BLND,Real Estate,REIT - Diversified,"GBX 4,257.11",,,
Hikma Pharmaceuticals PLC HIK,Healthcare,Drug Manufacturers - Specialty & Generic,"GBX 4,246.88",,,
B&M European Value Retail SA BME,Consumer Defensive,Discount Stores,"GBX 4,234.71",,,
Glanbia PLC GLB,Consumer Defensive,Packaged Foods,"EUR 4,137.55",,,
Datang International Power Generation Co Ltd DAT,Utilities,Utilities - Independent Power Producers,"GBX 4,112.88",,,
Bank of Africa BOAR,Financial Services,Banks - Diversified,"USD 4,100.11",,,
St James's Place PLC STJ,Financial Services,Asset Management,"GBX 3,989.09",,,
Acer Inc ACID,Technology,Computer Hardware,"USD 3,963.52",,,
Hiscox Ltd HSX,Financial Services,Insurance - Property & Casualty,"GBX 3,916.79",,,
Frasers Group PLC FRAS,Consumer Cyclical,Specialty Retail,"GBX 3,895.23",,,
easyJet PLC EZJ,Industrials,Airlines,"GBX 3,854.34",,,
Investec PLC INVP,Financial Services,Capital Markets,"GBX 3,816.14",,,
Darktrace PLC DARK,Technology,Software - Infrastructure,"GBX 3,731.99",,,
Bellway PLC BWY,Consumer Cyclical,Residential Construction,"GBX 3,697.33",,,
Harbour Energy PLC HBR,Energy,Oil & Gas E&P,"GBX 3,685.44",,,
RS Group PLC RS1,Industrials,Industrial Distribution,"GBX 3,656.95",,,
Games Workshop Group PLC GAW,Consumer Cyclical,Leisure,"GBX 3,453.37",,,
IG Group Holdings PLC IGG,Financial Services,Capital Markets,"GBX 3,418.00",,,
Inchcape PLC INCH,Consumer Cyclical,Auto & Truck Dealerships,"GBX 3,372.38",,,
International Distribution Services PLC IDS,Industrials,Integrated Freight & Logistics,"GBX 3,275.15",,,
Greggs PLC GRG,Consumer Cyclical,Restaurants,"GBX 3,212.86",,,
ITV PLC ITV,Communication Services,Broadcasting,"GBX 3,157.40",,,
Britvic PLC BVIC,Consumer Defensive,Beverages - Non-Alcoholic,"GBX 3,143.43",,,
Bridgepoint Group PLC BPT,Financial Services,Asset Management,"GBX 3,064.45",,,
Jet2 PLC JET2,Consumer Cyclical,Travel Services,"GBX 3,024.90",,,
Shaftesbury Capital PLC SHC,Real Estate,REIT - Retail,"GBX 3,001.10",,,
Softcat PLC SCT,Technology,Electronics & Computer Distribution,"GBX 2,979.81",,,
Ocado Group PLC OCDO,Consumer Defensive,Grocery Stores,"GBX 2,869.60",,,
Rotork PLC ROR,Industrials,Specialty Industrial Machinery,"GBX 2,862.81",,,
Virgin Money UK PLC VMUK,Financial Services,Banks - Regional,"GBX 2,815.94",,,
Johnson Matthey PLC JMAT,Basic Materials,Specialty Chemicals,"GBX 2,793.41",,,
Derwent London PLC DLN,Real Estate,REIT - Office,"GBX 2,751.13",,,
Computacenter PLC CCC,Technology,Information Technology Services,"GBX 2,746.87",,,
Spectris PLC SXS,Technology,Scientific & Technical Instruments,"GBX 2,737.61",,,
MingYang Smart Energy Group Ltd MYSE,Industrials,Specialty Industrial Machinery,"USD 2,706.80",,,
abrdn PLC ABDN,Financial Services,Asset Management,"GBX 2,680.73",,,
QinetiQ Group PLC QQ.,Industrials,Aerospace & Defense,"GBX 2,597.34",,,
Deliveroo PLC ROO,Consumer Cyclical,Internet Retail,"GBX 2,595.50",,,
DFI Retail Group Holdings Ltd DFIB,Consumer Defensive,Grocery Stores,"USD 2,571.94",,,
Zegona Communications PLC ZEG,Communication Services,Telecom Services,"GBX 2,563.10",,,
Tate & Lyle PLC TATE,Consumer Defensive,Packaged Foods,"GBX 2,542.78",,,
Renishaw PLC RSW,Technology,Scientific & Technical Instruments,"GBX 2,527.00",,,
Cranswick PLC CWK,Consumer Defensive,Packaged Foods,"GBX 2,517.61",,,
Dunelm Group PLC DNLM,Consumer Cyclical,Specialty Retail,"GBX 2,497.19",,,
Big Yellow Group PLC BYG,Real Estate,REIT - Industrial,"GBX 2,492.84",,,
Man Group PLC EMG,Financial Services,Asset Management,"GBX 2,489.75",,,
Nova Ljubljanska banka dd Ljubljana 55VX,Financial Services,Banks - Regional,"EUR 2,460.00",,,
Nova Ljubljanska banka dd Ljubljana NLB,Financial Services,Banks - Regional,"EUR 2,460.00",,,
Drax Group PLC DRX,Utilities,Utilities - Renewable,"GBX 2,454.31",,,
Old Mutual Ltd OMU,Financial Services,Insurance - Life,"GBX 2,424.69",,,
HELLENiQ ENERGY Holdings SA HLPD,Energy,Oil & Gas Integrated,"USD 2,381.28",,,
Babcock International Group PLC BAB,Industrials,Engineering & Construction,"GBX 2,352.04",,,
Direct Line Insurance Group PLC DLG,Financial Services,Insurance - Property & Casualty,"GBX 2,317.65",,,
Rostelecom PJSC RKMD,Communication Services,Telecom Services,"USD 2,253.97",,,
Oil & Gas Development Co Ltd OGDC,Energy,Oil & Gas E&P,"USD 2,238.86",,,
Oil & Gas Development Co Ltd 37OC,Energy,Oil & Gas E&P,"USD 2,238.86",,,
Just Eat Takeaway.com NV JET,Consumer Cyclical,Internet Retail,"GBX 2,237.50",,,
Cambi ASA 0ABM,Industrials,Waste Management,"NOK 2,232.36",,,
Playtech PLC PTEC,Consumer Cyclical,Gambling,"GBX 2,205.98",,,
Sistema PJSFC SSAA,Communication Services,Telecom Services,"USD 2,193.82",,,
Balfour Beatty PLC BBY,Industrials,Engineering & Construction,"GBX 2,189.75",,,
Burberry Group PLC BRBY,Consumer Cyclical,Luxury Goods,"GBX 2,180.91",,,
HUTCHMED (China) Ltd HCM,Healthcare,Drug Manufacturers - Specialty & Generic,"GBX 2,093.38",,,
Mandarin Oriental International Ltd MDO,Consumer Cyclical,Lodging,"USD 2,085.29",,,
Travis Perkins PLC TPK,Industrials,Industrial Distribution,"GBX 2,011.42",,,
Keywords Studios PLC KWS,Communication Services,Electronic Gaming & Multimedia,"GBX 1,954.62",,,
Safestore Holdings PLC SAFE,Real Estate,REIT - Industrial,"GBX 1,954.40",,,
WH Smith PLC SMWH,Consumer Cyclical,Specialty Retail,"GBX 1,869.43",,,
Rathbones Group PLC RAT,Financial Services,Asset Management,"GBX 1,868.93",,,
Plus500 Ltd PLUS,Financial Services,Capital Markets,"GBX 1,866.94",,,
Quilter PLC QLT,Financial Services,Asset Management,"GBX 1,846.45",,,
Serco Group PLC SRP,Industrials,Specialty Business Services,"GBX 1,841.94",,,
AJ Bell PLC AJB,Financial Services,Asset Management,"GBX 1,828.67",,,
International Workplace Group PLC IWG,Real Estate,Real Estate Services,"GBX 1,816.55",,,
Eutelsat Communications ETL,Technology,Communication Equipment,"EUR 1,814.23",,,
TP ICAP GROUP PLC TCAP,Financial Services,Capital Markets,"GBX 1,811.17",,,
Centamin PLC CEY,Basic Materials,Gold,"GBX 1,762.69",,,
Bank of Georgia Group PLC BGEO,Financial Services,Banks - Regional,"GBX 1,760.60",,,
Mitchells & Butlers PLC MAB,Consumer Cyclical,Restaurants,"GBX 1,752.46",,,
Grainger PLC GRI,Real Estate,Real Estate Services,"GBX 1,734.58",,,
Pennon Group PLC PNN,Utilities,Utilities - Regulated Water,"GBX 1,731.97",,,
Lancashire Holdings Ltd LRE,Financial Services,Insurance - Specialty,"GBX 1,682.73",,,
Energean PLC ENOG,Energy,Oil & Gas E&P,"GBX 1,661.42",,,
JTC PLC JTC,Financial Services,Asset Management,"GBX 1,659.01",,,
GlobalData PLC DATA,Industrials,Consulting Services,"GBX 1,637.42",,,
Savills PLC SVS,Real Estate,Real Estate Services,"GBX 1,627.91",,,
Hill & Smith PLC HILS,Industrials,Engineering & Construction,"GBX 1,626.61",,,
Gamma Communications PLC GAMA,Communication Services,Telecom Services,"GBX 1,622.94",,,
Grafton Group PLC GFTU,Industrials,Industrial Distribution,"GBX 1,617.87",,,
Premier Foods PLC PFD,Consumer Defensive,Packaged Foods,"GBX 1,581.04",,,
RHI Magnesita NV RHIM,Industrials,Metal Fabrication,"GBX 1,565.21",,,
Wisdom Marine Lines Co Ltd WML,Industrials,Marine Shipping,"USD 1,559.62",,,
Coats Group PLC COA,Consumer Cyclical,Textile Manufacturing,"GBX 1,559.17",,,
Kosmos Energy Ltd KOS,Energy,Oil & Gas E&P,"GBX 1,558.81",,,
TBC Bank Group PLC TBCG,Financial Services,Banks - Regional,"GBX 1,542.30",,,
Oxford Nanopore Technologies PLC ONT,Healthcare,Biotechnology,"GBX 1,542.30",,,
Hammerson PLC HMSO,Real Estate,REIT - Retail,"GBX 1,533.70",,,
Paragon Banking Group PLC PAG,Financial Services,Mortgage Finance,"GBX 1,525.38",,,
Ninety One PLC N91,Financial Services,Asset Management,"GBX 1,500.44",,,
MITIE Group PLC MTO,Industrials,Specialty Business Services,"GBX 1,497.52",,,
Primary Health Properties PLC PHP,Real Estate,REIT - Healthcare Facilities,"GBX 1,488.68",,,
Breedon Group PLC BREE,Basic Materials,Building Materials,"GBX 1,472.25",,,
Hays PLC HAS,Industrials,Staffing & Employment Services,"GBX 1,469.74",,,
